OrderID,Date,ProductID,CustomerID,EmployeeID,Quantity,UnitPrice
49,25/04/2024 00:00,37,166,41,6,164
50,17/03/2023 00:00,29,156,18,10,67
51,21/10/2023 00:00,20,237,29,1,68
52,17/08/2024 00:00,5,47,40,10,529
53,11/09/2024 00:00,36,22,29,10,677
54,18/12/2023 00:00,31,257,10,1,471
55,24/03/2024 00:00,46,44,33,3,50
56,17/10/2023 00:00,29,269,34,10,172
57,08/10/2024 00:00,25,210,50,6,705
58,31/01/2024 00:00,42,172,5,12,106
59,25/03/2023 00:00,19,130,47,10,904
60,09/11/2024 00:00,38,73,23,5,1000
61,20/10/2024 00:00,26,67,39,2,327
62,09/03/2024 00:00,22,66,43,9,105
63,08/08/2023 00:00,33,186,2,6,326
64,30/10/2023 00:00,22,249,13,4,150
65,23/06/2024 00:00,7,260,50,9,865
66,07/06/2023 00:00,3,173,50,10,144
67,24/03/2024 00:00,11,93,45,10,838
68,04/04/2024 00:00,3,211,24,4,464
69,25/04/2024 00:00,15,274,16,5,998
70,16/10/2023 00:00,13,189,44,10,461
71,24/07/2023 00:00,50,196,33,9,438
72,16/01/2024 00:00,39,71,17,3,666
73,27/03/2023 00:00,36,53,46,9,881
74,23/03/2024 00:00,49,83,18,8,937
75,24/02/2023 00:00,6,114,29,6,962
76,19/01/2024 00:00,26,258,24,12,405
77,10/12/2023 00:00,15,15,21,2,869
78,13/12/2024 00:00,10,71,3,5,949
79,20/01/2023 00:00,9,241,29,10,15
80,24/06/2024 00:00,17,111,10,9,972
81,18/02/2023 00:00,28,57,50,5,253
82,26/05/2024 00:00,16,215,41,10,478
83,28/05/2023 00:00,39,275,2,9,598
84,02/03/2024 00:00,19,220,1,10,371
85,11/07/2024 00:00,12,44,34,6,79
86,14/02/2023 00:00,33,260,36,1,409
87,11/03/2023 00:00,41,199,24,5,775
88,07/12/2023 00:00,23,124,47,2,800
89,29/06/2023 00:00,9,23,23,9,356
90,19/05/2023 00:00,50,238,45,8,656
91,24/07/2023 00:00,5,235,3,5,216
92,10/07/2024 00:00,3,162,20,9,417
93,18/02/2023 00:00,31,130,3,4,302
94,14/02/2024 00:00,42,170,18,22,828
95,24/05/2024 00:00,48,226,25,6,201
96,16/03/2024 00:00,24,266,18,2,754
97,02/12/2023 00:00,39,93,35,5,338
98,20/06/2023 00:00,43,152,20,8,627
99,28/12/2023 00:00,45,228,23,8,53
100,20/02/2024 00:00,40,223,18,44,86
101,14/09/2024 00:00,24,263,48,3,985
102,22/10/2024 00:00,44,225,3,3,78
103,26/11/2024 00:00,24,186,25,10,43
104,21/05/2023 00:00,29,190,24,8,791
105,27/04/2023 00:00,34,188,26,6,675
106,01/05/2023 00:00,2,96,32,9,406
107,20/10/2023 00:00,17,134,46,8,229
108,07/04/2024 00:00,45,252,13,2,148
109,08/03/2023 00:00,12,228,6,6,693
110,27/12/2024 00:00,36,278,19,5,881
111,25/07/2023 00:00,45,90,24,9,239
112,13/01/2024 00:00,9,122,32,13,379
113,13/11/2023 00:00,30,283,9,10,915
114,11/08/2024 00:00,26,246,34,7,797
115,13/06/2024 00:00,5,65,21,2,470
116,13/05/2023 00:00,23,66,50,9,665
117,18/06/2023 00:00,28,258,4,2,540
118,15/06/2024 00:00,11,166,46,4,364
119,09/10/2023 00:00,19,41,17,4,660
120,22/06/2023 00:00,9,156,40,9,105
121,11/09/2024 00:00,38,298,10,3,684
122,18/10/2024 00:00,22,289,3,1,93
123,24/09/2024 00:00,50,296,17,4,795
124,06/11/2023 00:00,41,16,32,9,306
125,06/12/2024 00:00,31,126,44,7,314
126,15/12/2023 00:00,4,81,29,7,505
127,20/12/2023 00:00,39,74,21,6,761
128,23/11/2023 00:00,26,67,49,6,537
129,10/04/2023 00:00,16,239,8,5,470
130,13/06/2023 00:00,4,149,25,10,438
131,25/05/2024 00:00,21,296,47,6,204
132,07/02/2024 00:00,33,240,32,15,519
133,21/02/2023 00:00,33,235,16,4,607
134,21/04/2023 00:00,19,254,39,8,302
135,16/02/2023 00:00,28,69,17,6,792
136,23/10/2023 00:00,26,27,37,9,209
137,30/09/2024 00:00,5,198,33,8,792
138,14/12/2023 00:00,44,61,9,2,413
139,16/02/2024 00:00,36,188,49,14,213
140,30/04/2024 00:00,33,21,3,1,150
141,02/12/2023 00:00,34,234,10,10,924
142,03/11/2023 00:00,40,164,11,7,641
143,30/07/2024 00:00,38,173,33,9,555
144,02/03/2024 00:00,20,244,2,6,349
145,02/11/2024 00:00,38,158,47,33,621
146,06/05/2024 00:00,50,297,37,4,748
147,01/06/2023 00:00,11,269,41,10,803
148,15/07/2023 00:00,44,125,3,10,980
149,28/07/2023 00:00,2,226,21,7,165
150,05/03/2023 00:00,27,257,50,10,952
151,09/11/2024 00:00,46,71,34,44,584
152,29/06/2024 00:00,31,270,25,6,989
153,10/09/2023 00:00,22,280,23,5,634
154,01/11/2023 00:00,18,286,20,4,974
155,21/11/2023 00:00,50,148,46,4,716
156,23/11/2024 00:00,31,179,36,55,304
157,30/05/2023 00:00,35,195,26,6,987
158,02/11/2024 00:00,19,22,19,2,364
159,29/07/2024 00:00,17,246,14,4,857
160,03/09/2023 00:00,45,140,9,2,640
161,23/02/2023 00:00,16,26,43,9,241
162,21/05/2023 00:00,7,212,22,8,112
163,02/05/2024 00:00,1,282,11,7,678
164,02/03/2023 00:00,31,103,49,5,338
165,08/02/2023 00:00,50,46,42,10,247
166,22/05/2024 00:00,12,214,12,1,866
167,20/04/2023 00:00,12,149,3,1,315
168,18/05/2023 00:00,22,146,30,9,546
169,16/06/2023 00:00,33,240,18,4,838
170,12/12/2023 00:00,47,235,42,5,745
171,16/10/2024 00:00,19,291,44,4,189
172,08/04/2023 00:00,26,219,33,6,98
173,25/09/2023 00:00,12,72,31,6,968
174,19/08/2024 00:00,25,121,29,5,986
175,30/08/2023 00:00,47,294,1,5,679
176,29/05/2024 00:00,4,61,30,5,173
177,30/10/2023 00:00,46,160,45,2,664
178,12/09/2024 00:00,24,114,15,3,499
179,04/07/2024 00:00,24,213,45,9,944
180,25/03/2023 00:00,43,112,49,4,706
181,25/04/2023 00:00,34,229,34,6,89
182,18/06/2023 00:00,4,281,33,4,596
183,20/08/2024 00:00,21,267,29,2,706
184,16/05/2023 00:00,32,47,33,8,838
185,19/11/2024 00:00,33,213,30,10,69
186,12/08/2023 00:00,20,12,26,5,846
187,08/07/2024 00:00,38,38,3,7,362
188,19/05/2023 00:00,4,36,31,1,303
189,22/01/2024 00:00,50,216,24,15,469
190,23/12/2023 00:00,25,42,44,9,146
191,17/08/2023 00:00,8,92,35,7,551
192,10/03/2024 00:00,1,12,20,8,699
193,10/10/2023 00:00,35,195,15,4,481
194,17/01/2023 00:00,13,58,3,7,639
195,04/09/2024 00:00,16,106,5,2,618
196,06/07/2024 00:00,44,25,16,1,421
197,12/08/2024 00:00,14,29,9,9,306
198,27/05/2023 00:00,21,296,39,6,252
199,24/07/2024 00:00,43,267,15,7,317
200,19/12/2023 00:00,38,90,41,7,579
201,02/06/2023 00:00,42,196,34,6,723
202,19/08/2023 00:00,20,193,12,9,494
203,02/03/2024 00:00,20,74,30,1,585
204,05/12/2023 00:00,36,272,9,7,258
205,15/07/2023 00:00,42,41,29,6,104
206,16/03/2023 00:00,4,138,25,10,627
207,07/12/2023 00:00,13,287,14,8,223
208,05/05/2024 00:00,20,8,14,4,995
209,17/10/2023 00:00,16,105,26,4,575
210,09/06/2024 00:00,25,239,35,6,325
211,28/07/2023 00:00,32,239,7,8,789
212,30/05/2023 00:00,24,161,27,1,586
213,30/10/2023 00:00,2,134,36,10,603
214,09/09/2023 00:00,10,101,22,4,398
215,15/05/2024 00:00,32,282,42,6,273
216,23/06/2023 00:00,47,252,30,3,760
217,19/10/2024 00:00,9,280,32,3,948
218,19/02/2023 00:00,4,269,3,2,977
219,11/03/2023 00:00,49,4,27,3,872
220,03/03/2023 00:00,46,78,1,4,527
221,18/07/2024 00:00,40,248,43,8,26
222,21/10/2023 00:00,27,7,2,9,749
223,03/07/2023 00:00,2,258,45,7,835
224,23/06/2024 00:00,7,50,34,3,256
225,20/02/2024 00:00,17,182,18,12,90
226,24/03/2023 00:00,30,290,16,4,317
227,02/05/2024 00:00,42,17,6,7,398
228,20/03/2024 00:00,4,5,45,3,94
229,13/02/2023 00:00,42,170,37,2,926
230,18/03/2023 00:00,15,109,45,10,496
231,19/11/2023 00:00,44,144,35,10,683
232,12/02/2024 00:00,2,107,38,14,780
233,03/02/2024 00:00,5,154,11,16,256
234,06/12/2024 00:00,44,277,22,7,783
235,26/08/2023 00:00,47,41,33,6,64
236,01/12/2023 00:00,5,175,39,10,987
237,20/01/2024 00:00,2,140,29,16,243
238,25/09/2024 00:00,28,96,44,10,686
239,25/01/2024 00:00,19,127,46,18,94
240,04/04/2023 00:00,46,79,48,7,334
241,16/05/2023 00:00,1,158,29,6,789
242,22/02/2024 00:00,6,96,28,34,580
243,04/09/2024 00:00,7,14,6,6,577
244,28/03/2023 00:00,21,198,1,5,433
245,25/01/2024 00:00,47,287,16,10,543
246,06/03/2023 00:00,11,72,18,5,284
247,20/03/2023 00:00,11,223,18,7,316
248,13/04/2024 00:00,24,129,16,8,618
249,27/09/2024 00:00,7,70,20,1,981
250,28/10/2024 00:00,25,169,29,6,450
251,25/07/2023 00:00,39,70,20,6,627
252,12/12/2024 00:00,31,161,12,7,336
253,07/02/2024 00:00,41,252,37,55,343
254,04/07/2023 00:00,24,59,37,4,616
255,24/03/2024 00:00,44,282,2,8,975
256,05/09/2023 00:00,19,36,27,8,152
257,04/04/2024 00:00,17,79,46,7,818
258,09/12/2024 00:00,39,246,38,7,557
259,03/07/2024 00:00,27,279,3,6,728
260,20/06/2023 00:00,39,44,7,4,683
261,16/03/2024 00:00,42,23,37,7,1000
262,15/06/2024 00:00,7,6,7,5,237
263,05/02/2024 00:00,36,298,45,61,236
264,30/10/2023 00:00,30,257,10,6,35
265,11/04/2024 00:00,27,44,8,3,366
266,14/12/2024 00:00,14,267,31,6,497
267,28/04/2023 00:00,29,164,5,5,55
268,07/09/2023 00:00,2,176,42,2,703
269,18/04/2024 00:00,34,90,36,3,348
270,18/03/2024 00:00,15,208,41,3,200
271,29/08/2024 00:00,26,15,48,10,914
272,21/12/2024 00:00,28,200,1,4,220
273,21/07/2023 00:00,5,296,7,9,201
274,17/11/2023 00:00,30,59,17,8,550
275,27/12/2023 00:00,39,199,40,7,611
276,28/03/2023 00:00,30,89,44,5,950
277,07/07/2023 00:00,44,69,21,2,254
278,11/08/2024 00:00,24,73,33,7,438
279,22/10/2024 00:00,25,217,12,8,660
280,19/11/2023 00:00,12,285,11,8,305
281,29/01/2024 00:00,29,28,23,11,506
282,01/03/2024 00:00,36,259,42,8,428
283,14/08/2023 00:00,46,228,32,3,94
284,13/04/2024 00:00,19,17,18,4,560
285,02/10/2023 00:00,37,254,36,9,125
286,27/03/2024 00:00,50,279,24,9,852
287,11/09/2023 00:00,35,112,28,2,763
288,31/03/2023 00:00,20,17,29,5,366
289,25/08/2024 00:00,29,61,50,4,224
290,22/09/2024 00:00,45,180,46,10,657
291,15/10/2023 00:00,9,106,14,1,593
292,09/08/2024 00:00,39,276,11,6,730
293,26/02/2024 00:00,18,264,44,12,148
294,13/09/2023 00:00,4,142,42,3,728
295,09/10/2024 00:00,10,165,16,7,511
296,06/04/2023 00:00,18,213,25,8,87
297,13/01/2024 00:00,26,264,48,90,721
298,06/04/2023 00:00,30,250,21,10,12
299,01/07/2024 00:00,47,235,41,6,880
300,18/10/2023 00:00,26,112,28,4,516
301,18/12/2023 00:00,22,281,37,3,589
302,15/04/2024 00:00,44,25,3,2,651
303,14/03/2024 00:00,2,64,11,8,477
304,08/10/2023 00:00,13,68,42,5,172
305,26/10/2024 00:00,6,185,17,2,390
306,28/08/2023 00:00,11,27,26,5,753
307,21/03/2023 00:00,28,47,46,2,11
308,18/12/2023 00:00,9,116,34,8,19
309,28/01/2024 00:00,8,217,45,8,499
310,21/05/2023 00:00,6,53,7,6,386
311,09/01/2023 00:00,25,69,42,3,80
312,05/06/2023 00:00,40,85,29,6,749
313,07/05/2023 00:00,27,227,14,2,928
314,11/09/2023 00:00,38,197,23,7,332
315,14/09/2024 00:00,18,44,16,9,625
316,05/06/2024 00:00,19,14,43,5,220
317,03/09/2023 00:00,13,201,19,1,812
318,14/03/2023 00:00,32,198,8,4,521
319,05/08/2024 00:00,34,7,24,6,145
320,16/03/2023 00:00,27,188,35,3,791
321,03/03/2023 00:00,2,35,1,5,230
322,19/12/2024 00:00,26,260,19,9,795
323,12/10/2023 00:00,26,43,41,9,560
324,09/06/2023 00:00,6,159,6,9,953
325,27/10/2024 00:00,35,168,26,10,659
326,02/09/2023 00:00,44,34,20,7,757
327,15/09/2024 00:00,4,126,6,7,128
328,21/05/2023 00:00,4,159,43,3,132
329,13/06/2024 00:00,45,6,11,8,985
330,03/10/2023 00:00,47,133,11,6,139
331,06/10/2023 00:00,47,61,50,1,353
332,11/04/2024 00:00,34,33,17,10,652
333,12/01/2024 00:00,33,185,4,16,889
334,29/04/2023 00:00,11,131,50,2,925
335,08/09/2023 00:00,15,261,1,1,889
336,06/02/2023 00:00,3,242,24,7,952
337,24/11/2023 00:00,36,215,15,6,264
338,23/02/2023 00:00,18,40,37,6,132
339,21/04/2024 00:00,12,115,34,1,986
340,13/01/2024 00:00,19,160,21,17,576
341,20/04/2024 00:00,13,150,37,5,767
342,09/09/2023 00:00,24,253,50,4,760
343,13/10/2024 00:00,10,4,27,1,248
344,11/11/2023 00:00,45,5,22,1,787
345,03/03/2023 00:00,7,106,34,4,439
346,16/06/2024 00:00,10,144,6,1,953
347,17/05/2023 00:00,27,191,30,2,604
348,09/11/2024 00:00,41,202,5,10,591
349,07/02/2024 00:00,9,122,19,13,881
350,27/07/2023 00:00,45,168,21,8,288
351,22/04/2024 00:00,9,300,7,3,118
352,01/08/2023 00:00,21,209,8,9,376
353,11/06/2023 00:00,29,158,30,5,882
354,02/12/2023 00:00,44,156,46,10,51
355,20/02/2023 00:00,10,47,46,4,374
356,08/04/2024 00:00,44,154,17,3,41
357,24/05/2023 00:00,36,282,16,2,483
358,15/02/2024 00:00,8,7,4,22,143
359,18/03/2023 00:00,24,44,38,10,275
360,06/12/2023 00:00,2,34,13,8,838
361,19/03/2024 00:00,8,22,30,1,182
362,26/06/2023 00:00,47,203,32,1,401
363,02/06/2023 00:00,23,110,12,5,296
364,17/07/2024 00:00,3,126,42,5,520
365,24/07/2023 00:00,31,32,6,5,402
366,27/01/2024 00:00,42,270,16,10,823
367,02/08/2024 00:00,46,184,31,9,810
368,03/09/2024 00:00,33,165,25,5,194
369,28/04/2024 00:00,15,16,50,5,69
370,13/04/2023 00:00,34,184,50,10,248
371,27/02/2023 00:00,16,124,18,9,845
372,27/06/2023 00:00,49,113,37,7,373
373,03/01/2024 00:00,12,122,38,15,835
374,26/05/2023 00:00,38,15,46,6,980
375,08/02/2023 00:00,37,97,32,9,326
376,04/05/2024 00:00,6,29,15,10,234
377,01/07/2023 00:00,1,170,40,4,835
378,26/05/2023 00:00,21,31,2,3,610
379,22/12/2024 00:00,50,57,34,6,993
380,20/05/2023 00:00,43,203,38,2,354
381,25/12/2024 00:00,11,224,41,8,674
382,11/11/2023 00:00,36,183,15,10,844
383,19/12/2024 00:00,47,151,9,3,756
384,22/11/2023 00:00,37,201,50,10,43
385,25/05/2023 00:00,40,114,41,10,116
386,01/04/2023 00:00,22,40,16,6,337
387,10/12/2024 00:00,46,172,29,1,281
388,31/01/2024 00:00,5,180,17,34,747
389,26/12/2023 00:00,29,215,11,7,514
390,28/10/2024 00:00,35,193,7,8,817
391,04/02/2023 00:00,49,116,11,8,85
392,17/12/2023 00:00,19,11,21,5,984
393,06/04/2023 00:00,11,193,11,2,570
394,18/06/2023 00:00,22,248,46,1,451
395,14/07/2023 00:00,39,223,11,1,113
396,01/11/2023 00:00,27,284,47,9,281
397,17/05/2024 00:00,16,50,4,7,595
398,08/11/2024 00:00,10,28,24,12,447
399,15/10/2024 00:00,41,246,13,2,36
400,27/04/2024 00:00,19,42,31,2,325
401,26/01/2024 00:00,32,136,6,23,406
402,27/09/2023 00:00,24,96,29,1,279
403,14/11/2024 00:00,15,138,37,23,164
404,26/08/2024 00:00,7,44,43,6,837
405,02/07/2024 00:00,15,284,4,7,848
406,09/02/2024 00:00,44,244,37,19,497
407,08/08/2024 00:00,46,18,33,10,932
408,21/06/2023 00:00,44,76,8,8,187
409,30/11/2024 00:00,14,99,9,43,443
410,24/11/2023 00:00,28,104,41,3,864
411,30/11/2023 00:00,47,35,6,7,579
412,24/08/2024 00:00,18,267,30,1,815
413,25/08/2024 00:00,34,215,8,7,163
414,20/10/2023 00:00,38,52,7,10,808
415,08/08/2024 00:00,35,177,27,5,402
416,25/09/2024 00:00,39,243,3,3,292
417,08/12/2024 00:00,39,206,3,7,920
418,17/01/2024 00:00,16,26,48,13,952
419,13/12/2024 00:00,2,173,20,5,297
420,29/03/2024 00:00,44,51,15,3,317
421,12/07/2023 00:00,50,165,18,7,629
422,18/01/2024 00:00,29,109,27,21,787
423,18/02/2024 00:00,4,264,11,2,328
424,25/07/2023 00:00,9,269,37,1,187
425,22/12/2024 00:00,4,128,3,8,61
426,07/05/2023 00:00,13,141,24,8,527
427,01/07/2023 00:00,44,16,16,6,510
428,22/09/2023 00:00,31,283,23,6,177
429,08/08/2024 00:00,48,47,19,1,405
430,29/10/2024 00:00,50,110,15,4,703
431,24/10/2024 00:00,27,263,2,1,495
432,09/11/2023 00:00,12,5,15,5,632
433,16/09/2023 00:00,46,141,28,7,882
434,21/08/2024 00:00,14,239,20,9,854
435,15/09/2024 00:00,7,4,33,6,584
436,11/10/2023 00:00,19,153,44,2,503
437,29/10/2024 00:00,41,167,18,5,681
438,28/02/2023 00:00,20,97,10,9,793
439,27/01/2023 00:00,39,207,43,6,707
440,02/02/2024 00:00,42,255,19,5,938
441,31/12/2024 00:00,48,19,38,10,845
442,03/01/2024 00:00,15,274,41,14,938
443,27/04/2024 00:00,33,154,11,9,195
444,27/11/2024 00:00,9,133,47,15,791
445,11/11/2023 00:00,22,46,15,6,238
446,01/05/2023 00:00,27,170,24,5,609
447,14/03/2023 00:00,31,28,41,10,604
448,26/06/2024 00:00,31,100,33,2,898
449,17/12/2023 00:00,20,212,4,3,150
450,04/07/2023 00:00,27,292,30,3,333
451,17/11/2023 00:00,50,42,32,6,656
452,22/06/2023 00:00,41,30,1,8,290
453,10/10/2024 00:00,37,82,32,2,142
454,30/06/2024 00:00,28,207,28,8,402
455,15/07/2023 00:00,13,192,1,6,785
456,19/12/2023 00:00,2,3,41,4,241
457,21/06/2023 00:00,20,67,7,7,525
458,02/09/2024 00:00,5,24,20,5,476
459,16/05/2024 00:00,34,173,28,3,360
460,15/05/2023 00:00,23,97,11,7,29
461,29/12/2024 00:00,14,12,38,9,183
462,19/02/2023 00:00,42,20,25,5,799
463,19/02/2023 00:00,39,25,43,2,679
464,16/09/2023 00:00,45,60,27,8,399
465,14/04/2023 00:00,31,79,14,1,318
466,04/03/2024 00:00,43,267,18,10,630
467,19/04/2023 00:00,7,262,47,10,130
468,19/06/2024 00:00,32,102,39,4,806
469,15/07/2024 00:00,13,184,46,7,312
470,14/01/2023 00:00,32,107,45,8,348
471,03/04/2023 00:00,43,46,8,10,695
472,25/08/2023 00:00,50,262,5,2,936
473,28/06/2023 00:00,30,152,17,8,61
474,08/04/2023 00:00,3,149,24,6,446
475,03/12/2023 00:00,49,24,1,3,689
476,17/01/2024 00:00,23,225,40,34,909
477,06/10/2023 00:00,22,94,8,7,419
478,02/03/2023 00:00,25,245,27,3,125
479,25/11/2024 00:00,11,54,27,10,504
480,30/01/2023 00:00,29,93,40,7,807
481,27/03/2024 00:00,44,67,31,8,125
482,25/11/2024 00:00,3,33,17,12,22
483,16/11/2024 00:00,34,296,47,10,239
484,12/09/2023 00:00,22,266,34,10,107
485,25/07/2024 00:00,31,178,43,7,162
486,22/05/2024 00:00,40,28,1,3,527
487,12/10/2023 00:00,11,39,49,8,338
488,29/08/2023 00:00,4,260,15,9,668
489,25/05/2024 00:00,6,236,29,10,468
490,16/04/2023 00:00,29,162,8,8,773
491,04/04/2023 00:00,26,212,3,9,572
492,12/04/2024 00:00,39,156,33,9,221
493,27/07/2024 00:00,22,187,4,4,874
494,10/04/2023 00:00,50,243,46,6,743
495,26/10/2023 00:00,49,114,1,6,373
496,19/05/2024 00:00,36,268,24,2,56
497,04/05/2023 00:00,9,210,7,5,635
498,29/02/2024 00:00,26,111,30,4,743
499,31/05/2024 00:00,3,64,50,8,478
500,19/03/2024 00:00,9,256,1,9,763
501,12/05/2023 00:00,38,248,33,3,718
502,31/05/2024 00:00,7,199,43,10,630
503,18/12/2023 00:00,25,215,39,4,290
504,08/06/2024 00:00,19,232,9,3,432
505,03/08/2023 00:00,20,281,21,9,657
506,28/12/2024 00:00,40,149,44,6,953
507,28/12/2024 00:00,42,92,33,9,720
508,14/11/2024 00:00,8,181,36,8,606
509,08/03/2024 00:00,46,214,44,9,302
510,17/11/2024 00:00,1,268,7,11,400
511,30/05/2023 00:00,4,103,18,3,303
512,08/04/2024 00:00,4,152,14,9,43
513,13/12/2024 00:00,7,288,15,9,408
514,02/12/2024 00:00,19,25,25,7,436
515,27/09/2024 00:00,21,283,4,1,771
516,09/09/2024 00:00,50,227,15,6,783
517,18/03/2023 00:00,13,100,19,8,191
518,14/03/2024 00:00,12,89,48,9,132
519,19/09/2023 00:00,18,285,17,3,174
520,27/11/2023 00:00,1,170,30,3,50
521,17/05/2024 00:00,39,27,50,10,873
522,22/06/2024 00:00,37,282,23,2,812
523,01/03/2024 00:00,15,95,34,2,815
524,07/08/2023 00:00,35,275,26,2,367
525,25/09/2024 00:00,43,170,22,6,310
526,01/04/2024 00:00,34,244,36,1,127
527,27/04/2023 00:00,16,125,3,6,400
528,19/01/2024 00:00,25,132,35,23,35
529,29/10/2024 00:00,33,261,29,8,54
530,04/07/2024 00:00,13,165,33,2,980
531,07/08/2023 00:00,35,4,41,2,225
532,21/03/2024 00:00,44,218,7,4,560
533,06/12/2023 00:00,42,37,48,3,34
534,25/07/2024 00:00,3,45,5,1,192
535,07/10/2024 00:00,5,295,15,5,427
536,01/07/2024 00:00,26,222,21,1,408
537,16/03/2023 00:00,1,33,49,10,56
538,13/09/2024 00:00,23,258,7,5,815
539,07/11/2024 00:00,6,145,49,12,400
540,05/02/2024 00:00,2,243,11,9,235
541,25/10/2024 00:00,35,152,41,3,315
542,06/01/2023 00:00,24,6,36,9,154
543,04/08/2023 00:00,37,202,35,9,979
544,08/06/2024 00:00,48,177,14,7,937
545,18/07/2023 00:00,10,83,12,4,641
546,16/07/2024 00:00,8,93,43,10,882
547,11/04/2023 00:00,30,282,5,5,697
548,02/11/2024 00:00,13,298,32,15,375
549,22/11/2023 00:00,16,52,19,10,81
550,21/08/2024 00:00,32,231,22,10,685
551,14/03/2024 00:00,10,290,37,6,837
552,18/10/2024 00:00,11,3,21,4,814
553,06/05/2024 00:00,28,142,24,3,705
554,29/06/2023 00:00,30,229,23,5,508
555,27/09/2023 00:00,42,42,18,3,922
556,03/06/2024 00:00,47,40,47,2,923
557,06/08/2023 00:00,41,16,38,10,424
558,28/04/2024 00:00,3,283,17,9,925
559,26/08/2024 00:00,42,77,24,7,238
560,11/02/2024 00:00,47,149,9,8,523
561,20/09/2024 00:00,24,258,1,4,878
562,03/07/2023 00:00,44,85,49,9,153
563,03/01/2024 00:00,37,290,43,3,763
564,14/01/2024 00:00,3,113,49,8,247
565,05/01/2024 00:00,15,22,43,4,540
566,28/11/2023 00:00,25,241,30,1,50
567,15/08/2024 00:00,7,267,41,5,864
568,24/08/2024 00:00,35,292,12,7,679
569,17/08/2023 00:00,42,40,34,5,395
570,10/09/2024 00:00,34,208,23,6,508
571,10/06/2024 00:00,1,257,9,8,179
572,08/09/2024 00:00,42,144,14,3,201
573,27/04/2023 00:00,46,61,43,4,434
574,25/02/2024 00:00,31,246,31,4,614
575,18/05/2023 00:00,2,125,3,3,597
576,22/09/2023 00:00,41,263,3,10,160
577,08/11/2024 00:00,12,265,26,10,587
578,08/05/2024 00:00,19,44,14,8,631
579,06/07/2023 00:00,11,113,27,10,156
580,09/04/2024 00:00,40,262,17,3,751
581,17/01/2023 00:00,39,36,15,7,404
582,09/04/2023 00:00,13,268,33,7,856
583,28/06/2024 00:00,12,244,40,10,49
584,09/09/2024 00:00,33,61,6,8,685
585,14/02/2023 00:00,35,1,50,7,544
586,26/01/2024 00:00,45,272,28,4,970
587,27/08/2023 00:00,23,295,7,7,147
588,06/01/2023 00:00,6,146,39,9,428
589,20/01/2024 00:00,46,4,37,9,130
590,08/06/2023 00:00,42,106,45,6,428
591,01/08/2024 00:00,28,300,17,5,885
592,19/07/2024 00:00,24,142,44,7,783
593,17/09/2023 00:00,36,248,12,6,582
594,06/11/2024 00:00,20,296,23,12,763
595,15/02/2024 00:00,8,118,29,3,112
596,13/10/2024 00:00,22,282,40,1,174
597,01/04/2023 00:00,1,47,10,8,958
598,29/01/2024 00:00,5,135,15,6,91
599,29/06/2023 00:00,26,267,19,10,68
600,14/06/2024 00:00,41,254,29,1,216
601,26/08/2023 00:00,19,100,3,10,532
602,01/01/2023 00:00,40,87,44,1,378
603,20/02/2024 00:00,11,45,18,7,371
604,03/04/2023 00:00,38,103,34,1,764
605,22/12/2023 00:00,36,146,47,9,946
